ITEM,SENTENCE,COMPATIBILITY,SUBJECT,LIST,TYPE
101,As declarações foram criadas por Davi.,1,eventivo,A,item
201,A grande sinfonia foi criada por Mozart.,1,não-eventivo,B,item
102,A aposta foi ganha pelo Eduardo.,2,eventivo,B,item
202,Este presente foi ganho por Carolina.,2,não-eventivo,A,item
103,O esforço foi valido pelo passeio.,3,eventivo,A,item
203,Dois pontos foram validos pelo saque.,3,não-eventivo,B,item
104,A filmagem foi cortada pelo editor.,1,eventivo,B,item
204,O bolo branco foi cortado por Marina.,1,não-eventivo,A,item
105,O financiamento foi conseguido por Rui.,2,eventivo,A,item
205,O ingresso foi conseguido por Ricardo.,2,não-eventivo,B,item
106,A permissão era possuída por Clara.,3,eventivo,B,item
206,Um sítio é possuído por Rafael.,3,não-eventivo,A,item
107,O embarque foi aberto por Murilo.,1,eventivo,A,item
207,A porta foi aberta pela professora.,1,não-eventivo,B,item
108,A mostra foi recebida pela cidade.,2,eventivo,B,item
208,A carta foi recebida por Gabriela.,2,não-eventivo,A,item
109,Cem lugares são contidos pelo cinema.,3,eventivo,A,item
209,Um pedido é contido por esta carta.,3,não-eventivo,B,item
110,A petição foi escrita pelos alunos.,1,eventivo,B,item
210,O manifesto foi escrito por Hugo.,1,não-eventivo,A,item
111,A boa reputação foi adquirida por Tom.,2,eventivo,A,item
211,Os bens foram adquiridos pela empresa.,2,não-eventivo,B,item
112,Uma consulta foi tida pela funcionária.,3,eventivo,B,item
212,Uma bela casa foi tida por Amanda.,3,não-eventivo,A,item
113,A defesa foi preparada pelo advogado.,1,eventivo,A,item
213,O lanche foi preparado pelo Bernardo.,1,não-eventivo,B,item
114,A homenagem foi aceita por Camila.,2,eventivo,B,item
214,O pedaço de bolo foi aceito por Flor.,2,não-eventivo,A,item
115,O desvio foi significado pelo sinal.,3,eventivo,A,item
215,O fim foi significado pelo penalti.,3,não-eventivo,B,item
116,A mineração foi fechada pela prefeita.,1,eventivo,B,item
216,A porta foi fechada pelo atendente.,1,não-eventivo,A,item
117,A permissão foi obtida pelo diretor.,2,eventivo,A,item
217,Os documentos foram obtidos por Paula.,2,não-eventivo,B,item
118,Matemática era sabida por Mateus.,3,eventivo,B,item
218,O endereço era sabido por Ana.,3,não-eventivo,A,item
501,Marta estava almoçando as crianças.,.,.,A,filler
502,Ricardo estava jantando as crianças.,.,.,A,filler
503,Clara estava batizando o sobrinho.,.,.,A,filler
504,Rodrigo estava consagrando a prima.,.,.,A,filler
505,Raquel estava casando um amigo.,.,.,A,filler
506,Clarice estava separando a irmã.,.,.,A,filler
507,Marina estava formando a amiga.,.,.,A,filler
508,Pedro estava promovendo um colega.,.,.,A,filler
509,Vicente estava estudando os filhos.,.,.,A,filler
510,Rui estava aprovando o enteado.,.,.,A,filler
801,Ricardo lamentou um fato.,.,.,A,filler
802,Paulo gritou que ela gostava de morangos.,.,.,A,filler
803,Maria sabe um livro.,.,.,A,filler
804,Maria compreendeu uma briga.,.,.,A,filler
805,Maria percebeu uma mensagem.,.,.,A,filler
806,João lembrou algum ocorrido.,.,.,A,filler
807,João esqueceu algum evento.,.,.,A,filler
808,Maria adivinhou um acontecimento.,.,.,A,filler
809,Ricardo parece que a Ana beijou.,.,.,A,filler
810,Ricardo acabou que a fruta estragou.,.,.,A,filler
811,Suzana quer Ana cozinhar a comida.,.,.,A,filler
812,Lucas decidiu o ajudante colher as frutas.,.,.,A,filler
813,O motorista resolveu Carlos trocar a bateria.,.,.,A,filler
814,Janice tentou Fernanda acender a luz.,.,.,A,filler
815,O padre conseguiu Juca celebrar o casamento,.,.,A,filler
816,Max pode Maria pintar uma flor,.,.,A,filler
817,Ricardo deseja a Ana limpar a casa,.,.,A,filler
501,Marta estava almoçando as crianças.,.,.,B,filler
502,Ricardo estava jantando as crianças.,.,.,B,filler
503,Clara estava batizando o sobrinho.,.,.,B,filler
504,Rodrigo estava consagrando a prima.,.,.,B,filler
505,Raquel estava casando um amigo.,.,.,B,filler
506,Clarice estava separando a irmã.,.,.,B,filler
507,Marina estava formando a amiga.,.,.,B,filler
508,Pedro estava promovendo um colega.,.,.,B,filler
509,Vicente estava estudando os filhos.,.,.,B,filler
510,Rui estava aprovando o enteado.,.,.,B,filler
801,Ricardo lamentou um fato.,.,.,B,filler
802,Paulo gritou que ela gostava de morangos.,.,.,B,filler
803,Maria sabe um livro.,.,.,B,filler
804,Maria compreendeu uma briga.,.,.,B,filler
805,Maria percebeu uma mensagem.,.,.,B,filler
806,João lembrou algum ocorrido.,.,.,B,filler
807,João esqueceu algum evento.,.,.,B,filler
808,Maria adivinhou um acontecimento.,.,.,B,filler
809,Ricardo parece que a Ana beijou.,.,.,B,filler
810,Ricardo acabou que a fruta estragou.,.,.,B,filler
811,Suzana quer Ana cozinhar a comida.,.,.,B,filler
812,Lucas decidiu o ajudante colher as frutas.,.,.,B,filler
813,O motorista resolveu Carlos trocar a bateria.,.,.,B,filler
814,Janice tentou Fernanda acender a luz.,.,.,B,filler
815,O padre conseguiu Juca celebrar o casamento,.,.,B,filler
816,Max pode Maria pintar uma flor,.,.,B,filler
817,Ricardo deseja a Ana limpar a casa,.,.,B,filler
